type, size, block_size, time, FLOPS, L1_DCM, L2_DCM, TOT_CYC, TOT_INS
Line Multiplication, 1800, -, 4.515508, -270.379742,2186131788, 1521714012, 16976627051, 40885677023
Line Multiplication, 1800, -, 4.508499, -270.800080,2186113499, 1521595331, 16960750741, 40885676998
Line Multiplication, 1800, -, 4.502646, -271.152093,2186119662, 1522977647, 16969257416, 40885676980
Line Multiplication, 1800, -, 4.534513, -269.246529,2186129703, 1524535351, 16950663136, 40885677076
Line Multiplication, 2200, -, 8.444548, -21.177745,4031464882, 2799631926, 31964478623, 74628100343
Line Multiplication, 2200, -, 8.500407, -21.038579,4031908765, 2804956021, 31936718343, 74628100140
Line Multiplication, 2200, -, 8.479090, -21.091471,4031162578, 2807996704, 31969205164, 74628100173
Line Multiplication, 2200, -, 8.281958, -21.593502,4032572345, 2763140273, 32220487872, 74628099686
Line Multiplication, 2200, -, 8.270641, -21.623050,4032057684, 2764654676, 32162566083, 74628099782
Line Multiplication, 2200, -, 8.404898, -21.277650,4033101139, 2778156780, 32067906784, 74628099978
Line Multiplication, 2200, -, 8.302372, -21.540408,4032278465, 2776009985, 31921478698, 74628100051
Line Multiplication, 2200, -, 8.386483, -21.324372,4031906551, 2782210417, 31950932010, 74628100400
Line Multiplication, 2200, -, 8.326157, -21.478874,4032678525, 2783318159, 32018268371, 74628100604
Line Multiplication, 2200, -, 8.392884, -21.308108,4032332316, 2786308856, 31888848696, 74628099973
Line Multiplication, 2600, -, 13.849551, 57.204860,6794079409, 4624561172, 53024869189, 123160610010
Line Multiplication, 2600, -, 13.682816, 57.901943,6794615590, 4598160053, 53203455060, 123160607133
Line Multiplication, 2600, -, 13.716243, 57.760834,6794398521, 4603434479, 53220667117, 123160607028
Line Multiplication, 2600, -, 13.718382, 57.751828,6794544597, 4603197194, 53376181608, 123160607005
Line Multiplication, 2600, -, 13.834607, 57.266653,6795417846, 4609207777, 53418742402, 123160607024
Line Multiplication, 2600, -, 13.738724, 57.666318,6793975332, 4607863950, 53297581815, 123160607021
Line Multiplication, 2600, -, 13.831223, 57.280664,6793962661, 4619295651, 53225790668, 123160607213
Line Multiplication, 2600, -, 13.719515, 57.747058,6794439471, 4603630374, 53354754292, 123160606981
Line Multiplication, 2600, -, 13.748982, 57.623294,6800465295, 4623827057, 53489848399, 123160607016
Line Multiplication, 2600, -, 13.682623, 57.902760,6794535932, 4617307554, 53186981876, 123160607039
Line Multiplication, 3000, -, 20.951037, -87.564871,10431224783, 7172020609, 81681137231, 189171196259
Line Multiplication, 3000, -, 21.045825, -87.170489,10430213563, 7194658616, 81865111649, 189171196493
Line Multiplication, 3000, -, 21.198522, -86.542583,10430156204, 7191297898, 81415383979, 189171196889
Line Multiplication, 3000, -, 26.923717, -68.139732,10434587607, 7363038771, 84705120447, 189171596155
Line Multiplication, 3000, -, 26.911214, -68.171389,10435572172, 7394030939, 85799272040, 189171582212
Line Multiplication, 3000, -, 22.913894, -80.063862,10433216922, 7282317213, 83862655273, 189171288281
Line Multiplication, 3000, -, 21.344773, -85.949607,10430416725, 7205169890, 81309110939, 189171197405
Line Multiplication, 3000, -, 21.333149, -85.996439,10430414285, 7213946546, 81300172982, 189171197261
Line Multiplication, 3000, -, 21.235434, -86.392152,10429951841, 7219395508, 81597128889, 189171198827
Line Multiplication, 3000, -, 21.094016, -86.971340,10430611155, 7200861289, 81555386623, 189171198113
Line Multiplication, 4096, -, 63.421583, 0.000000,27344607576, 19649376864, 221039612193, 481355906277
Line Multiplication, 4096, -, 55.808397, 0.000000,27335832261, 19352387130, 216545189943, 481355401179
Line Multiplication, 4096, -, 55.691528, 0.000000,27330545692, 19306005561, 216922261102, 481355399380
Line Multiplication, 4096, -, 56.015032, 0.000000,27335938430, 19368235970, 216290650830, 481355402090
Line Multiplication, 4096, -, 56.405736, 0.000000,27332685547, 19469546346, 216605372161, 481355399579
Line Multiplication, 4096, -, 55.881992, 0.000000,27337306066, 19415986920, 216887881759, 481355404232
Line Multiplication, 4096, -, 56.248880, 0.000000,27330278501, 19583638806, 216420402431, 481355402032
Line Multiplication, 4096, -, 55.911206, 0.000000,27330423965, 19458538803, 216721050964, 481355401182
Line Multiplication, 4096, -, 56.147760, 0.000000,27327142072, 19501756202, 216754395866, 481355403446
Line Multiplication, 4096, -, 55.985070, 0.000000,27327507240, 19625988847, 217040978067, 481355407301
Line Multiplication, 6144, -, 201.810863, 0.000000,91959957922, 78797901066, 746693279993, 1624216197683
Line Multiplication, 6144, -, 190.282403, 0.000000,91928472114, 78060811906, 737652398702, 1624215410699
Line Multiplication, 6144, -, 199.342502, 0.000000,91946026363, 78187372697, 741903531192, 1624215978896
Line Multiplication, 6144, -, 201.914046, 0.000000,91952277119, 78474672760, 741150264514, 1624216179860
Line Multiplication, 6144, -, 190.654364, 0.000000,91951915626, 77793947502, 736257278144, 1624215421259
Line Multiplication, 6144, -, 205.920750, 0.000000,91965091873, 78197853722, 744004831001, 1624216524424
Line Multiplication, 6144, -, 190.196646, 0.000000,91958422644, 77387159989, 735601726527, 1624215422476
Line Multiplication, 6144, -, 189.558269, 0.000000,91952329561, 77193760293, 736616647792, 1624215419452
Line Multiplication, 6144, -, 190.470006, 0.000000,91953095472, 77316512511, 736903689176, 1624215410697
Line Multiplication, 6144, -, 192.729676, 0.000000,91960915373, 77254108565, 743674011588, 1624215486561
Line Multiplication, 8192, -, 458.541448, 0.000000,217282500491, 219722680627, 1763565228147, 3849566690528
Line Multiplication, 8192, -, 464.018199, 0.000000,217310893375, 219222799981, 1769804307035, 3849567341518
Line Multiplication, 8192, -, 483.408982, 0.000000,217257783585, 224600634089, 1787671398879, 3849568452069
Line Multiplication, 8192, -, 464.370047, 0.000000,217152859925, 228121133491, 1780686662637, 3849567055143
Line Multiplication, 8192, -, 461.292539, 0.000000,217138673296, 228622220294, 1770082347187, 3849566858255
Line Multiplication, 8192, -, 470.173505, 0.000000,217186320507, 227052509098, 1780147712372, 3849567544158
Line Multiplication, 8192, -, 463.778557, 0.000000,217109599082, 230033646349, 1770690083801, 3849566872733
Line Multiplication, 8192, -, 460.314491, 0.000000,217128068731, 228285585390, 1777427132791, 3849566858546
Line Multiplication, 8192, -, 468.510339, 0.000000,217153479486, 226514118559, 1772232632456, 3849567431962
Line Multiplication, 8192, -, 477.952093, 0.000000,217178348434, 227021091074, 1776540983449, 3849567928063
Line Multiplication, 10240, -, 910.864326, 0.000000,422576968199, 541119720998, 3502504181608, 7518186637475
Line Multiplication, 10240, -, 928.802828, 0.000000,422683324604, 537577283825, 3511946263490, 7518188072546
Line Multiplication, 10240, -, 1016.504232, 0.000000,422612754032, 550846073538, 3577019794706, 7518193503089
Line Multiplication, 10240, -, 947.014813, 0.000000,422602093897, 543967741481, 3519052145631, 7518188786358
Line Multiplication, 10240, -, 948.708290, 0.000000,422604436090, 543590559613, 3518680569011, 7518189029635
Line Multiplication, 10240, -, 915.327420, 0.000000,422617669812, 538800353690, 3496841634934, 7518186729560
Line Multiplication, 10240, -, 945.485082, 0.000000,422668775080, 539796050365, 3522463474914, 7518189231462
Line Multiplication, 10240, -, 911.956264, 0.000000,422595171282, 540933533794, 3499773990740, 7518186634967
Line Multiplication, 10240, -, 945.663350, 0.000000,422609120724, 545302905393, 3524747325250, 7518188725311
Line Multiplication, 10240, -, 947.701909, 0.000000,422640560985, 543166635587, 3528569404910, -273956787815915
Block Multiplication, 4096, 32, 44.145067, 0.000000,13197222913, 8896355043, 171694406786, 567699529799
Block Multiplication, 4096, 256, 39.585744, 0.000000,9091381283, 22518796975, 153956500032, 552047253108
Block Multiplication, 4096, 512, 38.938066, 0.000000,8767311836, 19370416978, 151179663741, 550966388448
Block Multiplication, 4096, 1024, 47.993908, 0.000000,8816445637, 18645722279, 185820318797, 550427743257
Block Multiplication, 6144, 32, 153.066853, 0.000000,44562003040, 29962283349, 584507202403, 1915834277443
Block Multiplication, 6144, 256, 140.540287, 0.000000,30683311434, 76360563082, 519267196397, 1863008115678
Block Multiplication, 6144, 512, 138.183231, 0.000000,29635178828, 65268828850, 515033847638, 1859360334477
Block Multiplication, 6144, 1024, 163.507614, 0.000000,29807785609, 63435295294, 623523363953, 1857542274219
Block Multiplication, 8192, 32, 409.751161, 0.000000,104339491247, 178635597096, 1556207080793, 4541057509395
Block Multiplication, 8192, 256, 361.334815, 0.000000,72778494796, 182362600309, 1261251087192, 4415842195930
Block Multiplication, 8192, 512, 339.157213, 0.000000,70171176073, 154629135386, 1234082830252, 4407194294193
Block Multiplication, 8192, 1024, 403.385666, 0.000000,70676466125, 150486586410, 1487930913040, 4402885088700
Block Multiplication, 10240, 32, 848.011919, 0.000000,203859995948, 385373388947, 3184157996992, 8869043888007
Block Multiplication, 10240, 256, 656.283715, 0.000000,142071497903, 354348760683, 2439202836995, 8624478329830
Block Multiplication, 10240, 512, 625.137685, 0.000000,137026687578, 301756168894, 2379908088492, 8607589834482
Block Multiplication, 10240, 1024, 752.104179, 0.000000,138028115851, 294348467067, 2889033567548, 8599172532644
